,json,title_rough,check,title,imdb_id,big_json,seasons,cancelled,runtime,genres,parental_rating,imdb_rating,release_date,plot,year,type,votes,metascore,keywords,first_year,is_new
973,"{u'imdbID': u'tt0905590', u'Title': u'NBC Sunday Night Football', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTMzMjEyMTYzOV5BMl5BanBnXkFtZTcwMjkxMDg4MQ@@._V1_SX300.jpg', u'Year': u'2006–'}",September 10 - NBC Sunday Night Football,1,NBC Sunday Night Football,tt0905590,"{u'totalSeasons': u'11', u'Plot': u'Professional football games played on Sunday night.', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'NBC Sunday Night Football', u'Country': u'USA', u'Writer': u'N/A', u'Metascore': u'N/A', u'imdbRating': u'8.2', u'Director': u'N/A', u'Released': u'07 Sep 2006', u'Actors': u'Ben Roethlisberger, Heath Miller, Rodney Harrison, Hines Ward', u'Year': u'2006–', u'Genre': u'Sport', u'Awards': u'3 wins & 1 nomination.', u'Runtime': u'N/A', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTMzMjEyMTYzOV5BMl5BanBnXkFtZTcwMjkxMDg4MQ@@._V1_SX300.jpg', u'imdbVotes': u'679', u'imdbID': u'tt0905590'}",11,0,,Sport,,8.2,07 Sep 2006,Professional football games played on Sunday night.,2006–,series,679,,"[2010s, 2000s, day in title, american football, non fiction]",2006,0
974,"{u'imdbID': u'tt0865687', u'Title': u'Judge Maria Lopez', u'Type': u'series', u'Poster': u'N/A', u'Year': u'2006–'}",September 11 - Judge Maria Lopez,1,Judge Maria Lopez,tt0865687,"{u'totalSeasons': u'N/A', u'Plot': u'N/A', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Judge Maria Lopez', u'Country': u'USA', u'Writer': u'N/A', u'Metascore': u'N/A', u'imdbRating': u'4.0', u'Director': u'N/A', u'Released': u'N/A', u'Actors': u'Maria Lopez, Pete Rodriquez', u'Year': u'2006–', u'Genre': u'Reality-TV', u'Awards': u'N/A', u'Runtime': u'N/A', u'Type': u'series', u'Poster': u'N/A', u'imdbVotes': u'72', u'imdbID': u'tt0865687'}",0,0,,Reality-TV,,4.0,,,2006–,series,72,,[],2006,0
975,"{u'imdbID': u'tt0877889', u'Title': u'The Greg Behrendt Show', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTQzMTgxNDA0N15BMl5BanBnXkFtZTcwMjc5NjM5Mg@@._V1_SX300.jpg', u'Year': u'2006–'}",September 12 - The Greg Behrendt Show,1,The Greg Behrendt Show,tt0877889,"{u'totalSeasons': u'1', u'Plot': u'N/A', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'The Greg Behrendt Show', u'Country': u'USA', u'Writer': u'N/A', u'Metascore': u'N/A', u'imdbRating': u'5.0', u'Director': u'N/A', u'Released': u'18 Sep 2006', u'Actors': u'Greg Behrendt, Trisha Paytas', u'Year': u'2006–', u'Genre': u'Talk-Show', u'Awards': u'N/A', u'Runtime': u'N/A', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTQzMTgxNDA0N15BMl5BanBnXkFtZTcwMjc5NjM5Mg@@._V1_SX300.jpg', u'imdbVotes': u'88', u'imdbID': u'tt0877889'}",1,1,,Talk-Show,,5.0,18 Sep 2006,,2006–,series,88,,[],2006,0
976,"{u'imdbID': u'tt0805664', u'Title': u'Men in Trees', u'Type': u'series', u'Poster': u'N/A', u'Year': u'2006–2008'}",September 15 - Men in Trees,1,Men in Trees,tt0805664,"{u'totalSeasons': u'2', u'Plot': u'A relationship-advice guru, upon learning that her fiancé is cheating on her, decides to stay in a small town in Alaska, the most recent stop on her book tour. It's in this remote town, where the ratio of men to women is ten to one, she realizes she can truly learn about the subject she thought she knew so well -- how to find, and keep, a good man.', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Men in Trees', u'Country': u'USA', u'Writer': u'Jenny Bicks', u'Metascore': u'N/A', u'imdbRating': u'7.3', u'Director': u'N/A', u'Released': u'12 Sep 2006', u'Actors': u'Anne Heche, Abraham Benrubi, Emily Bergl, Derek Richardson', u'Year': u'2006–2008', u'Genre': u'Comedy, Drama, Romance', u'Awards': u'1 nomination.', u'Runtime': u'45 min', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjI1MzU4MDc5N15BMl5BanBnXkFtZTcwNzczMzY3Mw@@._V1_SX300.jpg', u'imdbVotes': u'4,635', u'imdbID': u'tt0805664'}",2,0,45 min,"Comedy, Drama, Romance",,7.3,12 Sep 2006,"A relationship-advice guru, upon learning that her fiancé is cheating on her, decides to stay in a small town in Alaska, the most recent stop on her book tour. It's in this remote town, where the ratio of men to women is ten to one, she realizes she can truly learn about the subject she thought she knew so well -- how to find, and keep, a good man.",2006–2008,series,"4,635",,"[small town, alaska, 2000s, plant in title, unfaithfulness, infidelity, fiance, fish out of water]",2006,0
977,"{u'imdbID': u'tt0451460', u'Title': u'Handy Manny', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMjE5NTY5NjA2MV5BMl5BanBnXkFtZTcwMjE2MzE1MQ@@._V1_SX300.jpg', u'Year': u'2006–'}",September 16 - Handy Manny,1,Handy Manny,tt0451460,"{u'totalSeasons': u'3', u'Plot': u'A show about handyman Manny Garcia and his helpful talking tools, who make repairs and fix problems in the small town of Sheetrock Hills.', u'Rated': u'TV-Y', u'Response': u'True', u'Language': u'English', u'Title': u'Handy Manny', u'Country': u'USA', u'Writer': u'Roger Bollen, Marilyn Sadler, Richard Gitelson', u'Metascore': u'N/A', u'imdbRating': u'5.9', u'Director': u'N/A', u'Released': u'N/A', u'Actors': u'Wilmer Valderrama, Dee Bradley Baker, Tom Kenny, Fred Stoller', u'Year': u'2006–', u'Genre': u'Animation, Family', u'Awards': u'7 wins & 1 nomination.', u'Runtime': u'24 min', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMjE5NTY5NjA2MV5BMl5BanBnXkFtZTcwMjE2MzE1MQ@@._V1_SX300.jpg', u'imdbVotes': u'786', u'imdbID': u'tt0451460'}",3,0,24 min,"Animation, Family",TV-Y,5.9,,"A show about handyman Manny Garcia and his helpful talking tools, who make repairs and fix problems in the small town of Sheetrock Hills.",2006–,series,786,,"[two word title, character name in title]",2006,0
978,"{u'imdbID': u'tt1101237', u'Title': u'Imagination Movers', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ3MzYyNzkwMV5BMl5BanBnXkFtZTcwMzg4NjY4MQ@@._V1_SX300.jpg', u'Year': u'2008–'}",September 16 - Imagination Movers,1,Imagination Movers,tt1101237,"{u'totalSeasons': u'3', u'Plot': u'Four Best Friends who solve problems for others.', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Imagination Movers', u'Country': u'USA', u'Writer': u'Richard Gitelson', u'Metascore': u'N/A', u'imdbRating': u'6.3', u'Director': u'N/A', u'Released': u'N/A', u'Actors': u'Rich Collins, Scott Durbin, David Poche, Wendy Calio', u'Year': u'2008–', u'Genre': u'Family', u'Awards': u'2 wins & 5 nominations.', u'Runtime': u'30 min', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ3MzYyNzkwMV5BMl5BanBnXkFtZTcwMzg4NjY4MQ@@._V1_SX300.jpg', u'imdbVotes': u'613', u'imdbID': u'tt1101237'}",3,0,30 min,Family,,6.3,,Four Best Friends who solve problems for others.,2008–,series,613,,[],2008,0
979,"{u'imdbID': u'tt0485842', u'Title': u'Studio 60 on the Sunset Strip', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNzIxNTM5NTM2OV5BMl5BanBnXkFtZTgwNDQ2OTkwMzE@._V1_SX300.jpg', u'Year': u'2006–2007'}",September 18 - Studio 60 on the Sunset Strip,1,Studio 60 on the Sunset Strip,tt0485842,"{u'totalSeasons': u'1', u'Plot': u'A behind-the-scenes look at a fictional sketch-comedy TV show.', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Studio 60 on the Sunset Strip', u'Country': u'USA', u'Writer': u'Aaron Sorkin', u'Metascore': u'N/A', u'imdbRating': u'8.3', u'Director': u'N/A', u'Released': u'18 Sep 2006', u'Actors': u'Matthew Perry, Amanda Peet, Bradley Whitford, Steven Weber', u'Year': u'2006–2007', u'Genre': u'Comedy, Drama', u'Awards': u'Nominated for 1 Golden Globe. Another 4 wins & 18 nominations.', u'Runtime': u'60 min', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNzIxNTM5NTM2OV5BMl5BanBnXkFtZTgwNDQ2OTkwMzE@._V1_SX300.jpg', u'imdbVotes': u'20,542', u'imdbID': u'tt0485842'}",1,1,60 min,"Comedy, Drama",,8.3,18 Sep 2006,A behind-the-scenes look at a fictional sketch-comedy TV show.,2006–2007,series,"20,542",,"[social commentary, television flop, homosexual subtext, television, television studio, number in title, actor shares first name with character]",2006,0
980,"{u'imdbID': u'tt0827947', u'Title': u'Rachael Ray', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BYWFjMmE0MjUtYmQ5Mi00Y2ZiLTg4YTktY2I0ODhkZGI1MmZkXkEyXkFqcGdeQXVyMjM0MDAwODY@._V1_SX300.jpg', u'Year': u'2006–'}",September 18 - Rachael Ray,1,Rachael Ray,tt0827947,"{u'totalSeasons': u'11', u'Plot': u'N/A', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Rachael Ray', u'Country': u'USA', u'Writer': u'N/A', u'Metascore': u'N/A', u'imdbRating': u'4.4', u'Director': u'N/A', u'Released': u'18 Sep 2006', u'Actors': u'Rachael Ray', u'Year': u'2006–', u'Genre': u'Talk-Show', u'Awards': u'3 wins & 27 nominations.', u'Runtime': u'60 min', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BYWFjMmE0MjUtYmQ5Mi00Y2ZiLTg4YTktY2I0ODhkZGI1MmZkXkEyXkFqcGdeQXVyMjM0MDAwODY@._V1_SX300.jpg', u'imdbVotes': u'689', u'imdbID': u'tt0827947'}",11,0,60 min,Talk-Show,,4.4,18 Sep 2006,,2006–,series,689,,"[female protagonist, name in title, performer name in title, two word title, interview, guest, cooking, advice, non fiction, character name in title]",2006,0
981,"{u'imdbID': u'tt0486539', u'Title': u'The Megan Mullally Show', u'Type': u'series', u'Poster': u'N/A', u'Year': u'2006–2007'}",September 18 - The Megan Mullally Show,1,The Megan Mullally Show,tt0486539,"{u'totalSeasons': u'1', u'Plot': u'A talk show hosted by Megan Mullally.', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'The Megan Mullally Show', u'Country': u'USA', u'Writer': u'N/A', u'Metascore': u'N/A', u'imdbRating': u'6.5', u'Director': u'N/A', u'Released': u'01 Sep 2006', u'Actors': u'Megan Mullally, Brett Simmons', u'Year': u'2006–2007', u'Genre': u'Comedy, Talk-Show', u'Awards': u'N/A', u'Runtime': u'N/A', u'Type': u'series', u'Poster': u'N/A', u'imdbVotes': u'225', u'imdbID': u'tt0486539'}",1,1,,"Comedy, Talk-Show",,6.5,01 Sep 2006,A talk show hosted by Megan Mullally.,2006–2007,series,225,,"[guest, interview, character name in title]",2006,0
982,"{u'imdbID': u'tt0805667', u'Title': u'Smith', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTI4NjgxMDE3M15BMl5BanBnXkFtZTYwNTM5Mzc2._V1_SX300.jpg', u'Year': u'2006–2007'}",September 19 - Smith,1,Smith,tt0805667,"{u'totalSeasons': u'1', u'Plot': u'A drama about the lives of a crew of professional criminals.', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Smith', u'Country': u'USA', u'Writer': u'John Wells', u'Metascore': u'N/A', u'imdbRating': u'8.0', u'Director': u'N/A', u'Released': u'19 Sep 2006', u'Actors': u'Ray Liotta, Virginia Madsen, Simon Baker, Jonny Lee Miller', u'Year': u'2006–2007', u'Genre': u'Crime, Drama, Thriller', u'Awards': u'1 nomination.', u'Runtime': u'60 min', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTI4NjgxMDE3M15BMl5BanBnXkFtZTYwNTM5Mzc2._V1_SX300.jpg', u'imdbVotes': u'1,673', u'imdbID': u'tt0805667'}",1,1,60 min,"Crime, Drama, Thriller",,8.0,19 Sep 2006,A drama about the lives of a crew of professional criminals.,2006–2007,series,"1,673",,"[television flop, short lived, robbery, interracial relationship]",2006,0
983,"{u'imdbID': u'tt0771329', u'Title': u'Kidnapped', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ3MDAyNTQxNF5BMl5BanBnXkFtZTcwMDM3MDczMQ@@._V1_SX300.jpg', u'Year': u'2006–2007'}",September 20 - Kidnapped,1,Kidnapped,tt0771329,"{u'totalSeasons': u'1', u'Plot': u'Complex overtones surround the kidnapping of a wealthy New York family's 15-year-old son, leading a specialist and a retiring FBI agent to figure it out.', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Kidnapped', u'Country': u'USA', u'Writer': u'Jason Smilovic', u'Metascore': u'N/A', u'imdbRating': u'7.7', u'Director': u'N/A', u'Released': u'20 Sep 2006', u'Actors': u'Jeremy Sisto, Carmen Ejogo, Delroy Lindo, Linus Roache', u'Year': u'2006–2007', u'Genre': u'Crime, Drama', u'Awards': u'Nominated for 1 Primetime Emmy. Another 1 win.', u'Runtime': u'N/A', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ3MDAyNTQxNF5BMl5BanBnXkFtZTcwMDM3MDczMQ@@._V1_SX300.jpg', u'imdbVotes': u'2,543', u'imdbID': u'tt0771329'}",1,1,,"Crime, Drama",,7.7,20 Sep 2006,"Complex overtones surround the kidnapping of a wealthy New York family's 15-year-old son, leading a specialist and a retiring FBI agent to figure it out.",2006–2007,series,"2,543",,"[fbi agent, kidnapping, investigation, husband wife relationship]",2006,0
984,"{u'imdbID': u'tt0805663', u'Title': u'Jericho', u'Type': u'series', u'Poster': u'N/A', u'Year': u'2006–2008'}",September 20 - Jericho,1,Jericho,tt0805663,"{u'totalSeasons': u'2', u'Plot': u'A small town in Kansas is literally left in the dark after seeing a mushroom cloud over near-by Denver, Colorado. The townspeople struggle to find answers about the blast and solutions on how to survive.', u'Rated': u'TV-14', u'Response': u'True', u'Language': u'English', u'Title': u'Jericho', u'Country': u'USA', u'Writer': u'Stephen Chbosky, Josh Schaer, Jonathan E. Steinberg', u'Metascore': u'N/A', u'imdbRating': u'8.0', u'Director': u'N/A', u'Released': u'20 Sep 2006', u'Actors': u'Skeet Ulrich, Lennie James, Ashley Scott, Kenneth Mitchell', u'Year': u'2006–2008', u'Genre': u'Action, Drama, Mystery', u'Awards': u'Nominated for 1 Primetime Emmy. Another 1 win & 5 nominations.', u'Runtime': u'45 min', u'Type': u'series', u'Poster': u'N/A', u'imdbVotes': u'47,902', u'imdbID': u'tt0805663'}",2,0,45 min,"Action, Drama, Mystery",TV-14,8.0,20 Sep 2006,"A small town in Kansas is literally left in the dark after seeing a mushroom cloud over near-by Denver, Colorado. The townspeople struggle to find answers about the blast and solutions on how to survive.",2006–2008,series,"47,902",,"[small town, kansas, conspiracy, survival, one word series title, nuclear explosion, ham radio, one word title, post apocalypse, shipper, water shortage, vandalism, radioactive burn, prodigal son, politics, murder, morse code, love, jealousy, gunshot, fire, ex boyfriend ex girlfriend relationship, electric shock, divorce, bomb shelter, bar, adultery, nuclear fallout, nuclear holocaust aftermath, nuclear attack, death of friend]",2006,0
985,"{u'imdbID': u'tt0801427', u'Title': u'Six Degrees', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTg1Nzg5ODQ3Nl5BMl5BanBnXkFtZTcwMjI4MTkzMQ@@._V1_SX300.jpg', u'Year': u'2006–2007'}",September 21 - Six Degrees,1,Six Degrees,tt0801427,"{u'totalSeasons': u'1', u'Plot': u'Whom will you touch in life? Who will touch you? They say that anyone on the planet can be connected to any other person through a chain of six people, which means that no one is a stranger... for long. In this new drama from the producers of ""Lost"" and ""Alias,"" six very different New Yorkers go about their lives without realizing the impact they're having on one another - yet. A mysterious web of coincidences will gradually draw them closer, changing the course of their lives forever. Is it happenstance? Is it fate? Is there a greater force at work in our world, guiding us along and connecting our lives? Laura, a grieving single mother, begins the chain. Next is Whitney, the self-made success story who thinks her boyfriend is cheating. Move on to Steven, the artist/photographer who believes he's lost his ""eye."" Follow with Damian, who can't escape his criminal brother's shadow, then on to Mae, the girl with a dangerous past that she's hiding from, and finally to Carlos, the good guy with a crush who doesn't know what he's in for. This intriguing tale of intertwined destinies reminds us that romance, success, peace or forgiveness might be right around the corner, but they can also be lost in an instant. It's a story that underlines just how small the world really is, and how someone just five people away might be shaping your future right now.', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Six Degrees', u'Country': u'USA', u'Writer': u'Raven Metzner, Stu Zicherman', u'Metascore': u'N/A', u'imdbRating': u'7.8', u'Director': u'N/A', u'Released': u'21 Sep 2006', u'Actors': u'Jay Hernandez, Bridget Moynahan, Erika Christensen, Dorian Missick', u'Year': u'2006–2007', u'Genre': u'N/A', u'Awards': u'N/A', u'Runtime': u'N/A', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTg1Nzg5ODQ3Nl5BMl5BanBnXkFtZTcwMjI4MTkzMQ@@._V1_SX300.jpg', u'imdbVotes': u'1,564', u'imdbID': u'tt0801427'}",1,1,,,,7.8,21 Sep 2006,"Whom will you touch in life? Who will touch you? They say that anyone on the planet can be connected to any other person through a chain of six people, which means that no one is a stranger... for long. In this new drama from the producers of ""Lost"" and ""Alias,"" six very different New Yorkers go about their lives without realizing the impact they're having on one another - yet. A mysterious web of coincidences will gradually draw them closer, changing the course of their lives forever. Is it happenstance? Is it fate? Is there a greater force at work in our world, guiding us along and connecting our lives? Laura, a grieving single mother, begins the chain. Next is Whitney, the self-made success story who thinks her boyfriend is cheating. Move on to Steven, the artist/photographer who believes he's lost his ""eye."" Follow with Damian, who can't escape his criminal brother's shadow, then on to Mae, the girl with a dangerous past that she's hiding from, and finally to Carlos, the good guy with a crush who doesn't know what he's in for. This intriguing tale of intertwined destinies reminds us that romance, success, peace or forgiveness might be right around the corner, but they can also be lost in an instant. It's a story that underlines just how small the world really is, and how someone just five people away might be shaping your future right now.",2006–2007,series,"1,564",,[],2006,0
986,"{u'imdbID': u'tt0876219', u'Title': u'Young Dracula', u'Type': u'series', u'Poster': u'N/A', u'Year': u'2006–'}",September 21 -Young Dracula,1,Young Dracula,tt0876219,"{u'totalSeasons': u'5', u'Plot': u'Single dad Count Dracula moves to modern-day Britain from Transylvania with his two children, Vlad and Ingrid. To his father's horror, Vlad - the show's eponymous hero - wants not to bite, but rather to fit in with his new-found British friends, but it's not easy when you are one of the undead.', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Young Dracula', u'Country': u'UK', u'Writer': u'Danny Robins, Dan Tetsell', u'Metascore': u'N/A', u'imdbRating': u'7.9', u'Director': u'N/A', u'Released': u'21 Sep 2006', u'Actors': u'Keith-Lee Castle, Clare Thomas, Simon Ludders, Gerran Howell', u'Year': u'2006–', u'Genre': u'Comedy, Family', u'Awards': u'1 win & 1 nomination.', u'Runtime': u'25 min', u'Type': u'series', u'Poster': u'N/A', u'imdbVotes': u'1,006', u'imdbID': u'tt0876219'}",5,0,25 min,"Comedy, Family",,7.9,21 Sep 2006,"Single dad Count Dracula moves to modern-day Britain from Transylvania with his two children, Vlad and Ingrid. To his father's horror, Vlad - the show's eponymous hero - wants not to bite, but rather to fit in with his new-found British friends, but it's not easy when you are one of the undead.",2006–,series,"1,006",,"[british, dracula, van helsing, chosen one, supernatural, female vampire, vampire, 2010s, 2000s]",2006,0
987,"{u'imdbID': u'tt0805666', u'Title': u'Shark', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTIzNjg0MzgwNF5BMl5BanBnXkFtZTcwMTQ1MzczMQ@@._V1_SX300.jpg', u'Year': u'2006–2008'}",September 21 - Shark,1,Shark,tt0805666,"{u'totalSeasons': u'2', u'Plot': u'Title character Sebastian Stark is an L.A. hot-shot lawyer, who leaves his lucrative career as defender of rich criminals to join the public prosecution under the District Attorney (D.A.), ...', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Shark', u'Country': u'USA', u'Writer': u'Ian Biederman', u'Metascore': u'N/A', u'imdbRating': u'7.1', u'Director': u'N/A', u'Released': u'21 Sep 2006', u'Actors': u'James Woods, Danielle Panabaker, Sophina Brown, Sarah Carter', u'Year': u'2006–2008', u'Genre': u'Crime, Drama, Mystery', u'Awards': u'Nominated for 1 Primetime Emmy. Another 3 nominations.', u'Runtime': u'60 min', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTIzNjg0MzgwNF5BMl5BanBnXkFtZTcwMTQ1MzczMQ@@._V1_SX300.jpg', u'imdbVotes': u'10,224', u'imdbID': u'tt0805666'}",2,0,60 min,"Crime, Drama, Mystery",,7.1,21 Sep 2006,"Title character Sebastian Stark is an L.A. hot-shot lawyer, who leaves his lucrative career as defender of rich criminals to join the public prosecution under the District Attorney (D.A.), ...",2006–2008,series,"10,224",,"[lawyer, trial, district attorney, court, attorney, one word title, flashback, false accusation, los angeles california, colleague, co worker, wrath, witness, testimony, teenage girl, teenage daughter, sunglasses, sarcasm, rage, question, prosecutor, office, murder, murder trial, legal system, legal drama, justice, irony, investigation, interrogation, house, homicide, female lawyer, father daughter relationship, evidence, divorced father, defense lawyer, death, dark secret, dark past, courtroom, courthouse, anger, character name in title, title spoken by character]",2006,0
988,"{u'imdbID': u'tt0775372', u'Title': u'Legion of Super Heroes', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNTk5ODQ1MTQ1N15BMl5BanBnXkFtZTcwODE0MTU1MQ@@._V1_SX300.jpg', u'Year': u'2006–'}",September 23 - Legion of Super Heroes,1,Legion of Super Heroes,tt0775372,"{u'totalSeasons': u'2', u'Plot': u'The adventures of a young Clark Kent, as Superman, during his time with a team of teenage superheroes in the far future.', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Legion of Super Heroes', u'Country': u'USA', u'Writer': u'N/A', u'Metascore': u'N/A', u'imdbRating': u'7.2', u'Director': u'N/A', u'Released': u'23 Sep 2006', u'Actors': u'Yuri Lowenthal, Andy Milder, Kari Wahlgren, Adam Wylie', u'Year': u'2006–', u'Genre': u'Animation, Action, Sci-Fi', u'Awards': u'7 nominations.', u'Runtime': u'N/A', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNTk5ODQ1MTQ1N15BMl5BanBnXkFtZTcwODE0MTU1MQ@@._V1_SX300.jpg', u'imdbVotes': u'990', u'imdbID': u'tt0775372'}",2,0,,"Animation, Action, Sci-Fi",,7.2,23 Sep 2006,"The adventures of a young Clark Kent, as Superman, during his time with a team of teenage superheroes in the far future.",2006–,series,990,,"[future, legion of super heroes, teenager, teenage superhero, superhero, superhero team, superboy, dc comics, based on comic, based on comic book]",2006,0
989,"{u'imdbID': u'tt0850641', u'Title': u'Monster Allergy', u'Type': u'series', u'Poster': u'N/A', u'Year': u'2006–'}",September 23 - Monster Allergy,1,Monster Allergy,tt0850641,"{u'totalSeasons': u'2', u'Plot': u'In a world where monsters can only be seen by a select few, tamer Zick and his ordinary friend Elena must capture the mischievous monsters as well as the evil Magnacat.', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Monster Allergy', u'Country': u'Italy, France, Germany', u'Writer': u'N/A', u'Metascore': u'N/A', u'imdbRating': u'7.0', u'Director': u'N/A', u'Released': u'23 Sep 2006', u'Actors': u'Kaley Cuoco', u'Year': u'2006–', u'Genre': u'Animation', u'Awards': u'N/A', u'Runtime': u'N/A', u'Type': u'series', u'Poster': u'N/A', u'imdbVotes': u'76', u'imdbID': u'tt0850641'}",2,0,,Animation,,7.0,23 Sep 2006,"In a world where monsters can only be seen by a select few, tamer Zick and his ordinary friend Elena must capture the mischievous monsters as well as the evil Magnacat.",2006–,series,76,,[],2006,0
990,"{u'imdbID': u'tt0780438', u'Title': u'Tom and Jerry Tales', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BNzE3NTAwMjI2OV5BMl5BanBnXkFtZTgwNzczODA2NzE@._V1_SX300.jpg', u'Year': u'2006–'}",September 23 - Tom and Jerry Tales,1,Tom and Jerry Tales,tt0780438,"{u'totalSeasons': u'2', u'Plot': u'Tom and jerry returns with vengeance in this new show.', u'Rated': u'TV-Y', u'Response': u'True', u'Language': u'English', u'Title': u'Tom and Jerry Tales', u'Country': u'USA', u'Writer': u'N/A', u'Metascore': u'N/A', u'imdbRating': u'7.3', u'Director': u'N/A', u'Released': u'23 Sep 2006', u'Actors': u'Don Brown, Jake D. Smith', u'Year': u'2006–', u'Genre': u'Animation, Comedy, Family', u'Awards': u'4 nominations.', u'Runtime': u'N/A', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BNzE3NTAwMjI2OV5BMl5BanBnXkFtZTgwNzczODA2NzE@._V1_SX300.jpg', u'imdbVotes': u'731', u'imdbID': u'tt0780438'}",2,0,,"Animation, Comedy, Family",TV-Y,7.3,23 Sep 2006,Tom and jerry returns with vengeance in this new show.,2006–,series,731,,"[anthropomorphic animal, cat versus mouse, anthropomorphic mouse, anthropomorphic cat, animal name in title, cat, mouse, character name in title]",2006,0
991,"{u'imdbID': u'tt1624845', u'Title': u'The Runaway', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTQxNjU5NzQyN15BMl5BanBnXkFtZTgwOTA1MTgwMzE@._V1_SX300.jpg', u'Year': u'2010'}",September 25 - Runaway,1,Runaway,tt1624845,"{u'totalSeasons': u'1', u'Plot': u'Cathy Connor and Eamonn Docherty are brought up together in the East End. As the daughter of a prostitute, Madge, Cathy's life is difficult, especially when everyone assumes that she will ...', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'The Runaway', u'Country': u'UK', u'Writer': u'N/A', u'Metascore': u'N/A', u'imdbRating': u'7.5', u'Director': u'N/A', u'Released': u'31 Mar 2011', u'Actors': u'Keith Allen, Burn Gorman, Noah Hedges, Jack O'Connell', u'Year': u'2010', u'Genre': u'Crime', u'Awards': u'2 nominations.', u'Runtime': u'N/A', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTQxNjU5NzQyN15BMl5BanBnXkFtZTgwOTA1MTgwMzE@._V1_SX300.jpg', u'imdbVotes': u'630', u'imdbID': u'tt1624845'}",1,1,,Crime,,7.5,31 Mar 2011,"Cathy Connor and Eamonn Docherty are brought up together in the East End. As the daughter of a prostitute, Madge, Cathy's life is difficult, especially when everyone assumes that she will ...",2010,series,630,,"[east end london, england, bare chested male, tv mini series, based on novel]",2010,0
